id,school_id,iern,batches_name,year_received,sources_fund,ecart_laptops,ecart_tablets,ecart_tv,charging_condition,remarks,created_at
1510,301479,2026-19600,Batch 2024-01_ ELearning Cart Package,2024,DepEd (DCP),46,0,1,Functional,"ACER BACKPACK
PROMATE KEN.BLACK WIRFI FSS OPTICAL 
PCS   PROMATE LA BOCA HEADPHONE BLACK
USB RECOVERY FLASH DRIVE
TP-Link Archer AX12AX1500 WI-FI Router  
TNE LT-CArt-24AC-1 Charging Cart
Silicon Power SP050TBPHD62LS3K Armour A62 TB EXT HDD
",2026-04-09 23:17:12.984868+00:00
1511,301479,2026-19600,Teaching 2023,2024,DepEd (DCP),5,0,0,Functional,,2026-04-09 23:17:12.989749+00:00
1515,306031,2026-21506,0,2024,DepEd (DCP),46,0,1,Functional,Not yet use,2026-04-09 23:22:35.986246+00:00
1546,500527,2026-40633,DCP BATCH 2022,2022,DepEd (DCP),46,0,1,Functional,"2 Router, 46 Headset, 46 mouse",2026-04-10 00:23:22.178619+00:00
3453,300436,2026-10924,ELC Package,2024,DepEd (DCP),46,0,1,Functional,,2026-04-13 07:10:28.975912+00:00
1520,160513,2026-16115,LAPTOP AS ASSISTIVE TOOL FOR LEARNERS WITH DISABILITIES,2024,Other,6,0,0,Non-Functional,SDO PURCHASED. ASUS LAPTOPS. NO CHARGING CART. ONLY INDIVIDUAL CHARGER.,2026-04-09 23:50:21.886328+00:00
1521,160513,2026-16115,LAPTOP AS ASSISTIVE TOOL FOR LEARNERS WITH DISABILITIES,2024,Other,1,0,0,Non-Functional,SDO PURCHASED. HP LAPTOP,2026-04-09 23:50:21.892504+00:00
1522,160513,2026-16115,CLASSROOM OF TOMORROW,2024,LGU / SEF,0,26,1,Non-Functional,SAMSUNG TAB A9. NO CHARGING CART. INDIVIDUAL CHARGING CABLE. NO CHARGING BRICK. THIS PACKAGE ALSO COMES WITH INTERACTIVE PROJECTOR,2026-04-09 23:50:21.897824+00:00
1523,160513,2026-16115,CLASSROOM OF TOMORROW - MOOE,2025,Other,0,2,0,Non-Functional,SCHOOL MOOE PURCHASED. SAMSTUNG TAB A9. NO CHARGING BRICK. ONLY CHARGING CABLE. ,2026-04-09 23:50:21.902276+00:00
1999,500160,2026-25006,44,2024,DepEd (DCP),46,0,0,Functional,,2026-04-10 05:26:48.694541+00:00
2065,302088,2026-24954,Batch 2023-01: ELC,2024,DepEd (DCP),46,0,1,Functional,"Wireless mouse, headset, flashdrive, carrying bag, wireless router",2026-04-10 06:14:59.276645+00:00
3530,302586,2026-29657,BATCH 2022,2024,DepEd (DCP),46,0,1,Functional,"TP LINK ARCHER AX12, TSDI CHARGING CART, SILICON POWER ARMOR A60",2026-04-13 07:41:22.685887+00:00
1547,300140,2026-08818,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Router - 2
Headphone - 46",2026-04-10 00:30:53.282929+00:00
5154,301853,2026-23390,2019-03 ,2019,DepEd (DCP),1,50,0,Functional,TP-Link Router,2026-04-15 01:22:49.166362+00:00
7140,500028,2026-18583,DCP 2022,2024,DepEd (DCP),46,0,1,Functional,,2026-04-20 13:41:53.942485+00:00
1531,321601,2026-20006,DCP 2022,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 00:07:47.750743+00:00
1532,321601,2026-20006,Batch 2019-03,2021,DepEd (DCP),1,50,0,Functional,,2026-04-10 00:07:47.759598+00:00
1533,321601,2026-20006,Batch 2019-02,2021,DepEd (DCP),51,0,1,Functional,,2026-04-10 00:07:47.765026+00:00
1534,321601,2026-20006,Batch 2023,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 00:07:47.769725+00:00
1535,302769,2026-26193,Batch 2022,2022,DepEd (DCP),26,0,0,Functional,,2026-04-10 00:08:46.431832+00:00
5155,301853,2026-23390,DCP 2023-01,2019,DepEd (DCP),1,50,0,Non-Functional,TP-Link Router,2026-04-15 01:22:49.171905+00:00
1538,157001,2026-12777,Batch 1,2020,DepEd (DCP),1,50,1,Functional,1 router,2026-04-10 00:16:52.623703+00:00
1548,301498,2026-19673,ELC 2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 00:33:38.910786+00:00
5327,305567,2026-07438,2022-01,2022,DepEd (DCP),46,0,1,Functional,ROUTERS,2026-04-15 03:32:04.467720+00:00
