school_id,ict_desktops_func,ict_desktops_teaching,ict_desktops_total,ict_desktops_working,ict_laptops_func,ict_laptops_teaching,ict_laptops_total,ict_laptops_working,ict_printers_cond,ict_printers_func,ict_printers_total,ict_projectors_cond,ict_projectors_func,ict_projectors_total,ict_smart_tvs_cond,ict_smart_tvs_func,ict_smart_tvs_total,ict_tablets_func,ict_tablets_teaching,ict_tablets_total,ict_tablets_working,util_confirm_no_grid,util_confirm_no_grid_text,util_confirm_no_wired,util_confirm_no_wired_text,util_has_solar_or_gen,util_utility_electricity,util_utility_internet_funder,util_utility_internet_type,util_utility_internet_yesno
500514,0,0,0,0,,32,32,7,,30,30,,1,1,,15,15,,69,69,69,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
121562,,5,6,1,,5,6,6,,7,7,,0,0,,4,4,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
305468,,32,59,57,,249,303,273,,56,61,,4,5,,189,196,,0,19,19,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
111857,,12,12,1,,8,10,8,,15,17,,1,1,,10,12,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
104733,,30,30,30,,8,9,9,,7,8,,1,1,,2,2,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
113578,0,0,0,0,,4,5,5,,3,3,,1,1,,1,2,0,0,0,0,False,,False,Confirm,True,Grid supply,Teachers' Personal Expense,Wireless (4G/5G/Radio),False
500375,,37,40,40,,2,5,4,,20,22,,1,4,,27,28,,103,103,45,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
132798,0,0,0,0,,8,10,10,,10,10,,0,0,,5,7,0,0,0,0,False,,False,CONFIRM,False,Grid supply,DepEd Funded (DCP),Satellite,True
176501,0,0,0,0,,3,4,4,,7,7,,1,1,,4,4,,2,2,2,False,,False,confirm,False,Grid supply,,,False
101644,0,0,0,0,,5,48,48,,8,8,,0,0,,8,8,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
310811,,1,3,3,,8,10,10,,9,9,,1,1,,1,1,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
302264,0,170,195,195,,183,210,210,,30,30,,7,10,,45,45,,50,50,50,False,,False,,False,Grid supply,DepEd Funded (DCP),Wired (Fiber/DSL/Cable),True
115479,0,0,0,0,,4,6,6,,5,5,,0,0,,7,7,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
312704,0,0,0,0,,11,12,10,,8,14,,1,1,,4,4,,229,230,229,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120944,0,0,0,0,,2,2,0,,8,8,,0,0,,6,6,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
303488,,69,72,72,,59,62,62,,45,45,,1,2,,32,32,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
300707,,59,76,70,,367,381,308,,82,114,,4,9,,105,120,,2,1268,953,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
300443,,42,42,0,,46,52,46,,13,16,,0,0,,10,10,0,48,48,25,False,,False,confirm,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120073,0,0,0,0,,5,5,5,,8,8,,1,1,,3,3,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
304597,,45,50,50,,0,50,5,,5,10,,0,4,,65,70,,50,50,10,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120074,0,0,0,0,,10,11,11,,9,9,,0,0,,9,9,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
109880,,11,11,0,,12,14,1,,6,13,,0,4,,1,1,0,0,0,0,False,Confirm,False,,True,Off-grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
103093,0,0,0,0,,2,2,2,,5,8,,1,1,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
129181,,1,1,0,,1,1,1,,0,0,,0,1,,0,0,0,0,0,0,False,,False,Confirm,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
116591,0,0,0,0,,1,3,3,,5,8,,0,2,,5,5,0,0,0,0,False,,False,CONFIRM,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
114637,,3,4,4,,2,2,2,,8,8,,1,1,,5,5,0,0,0,0,False,,False,CONFIRM,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
118003,0,0,0,0,,4,5,5,,6,6,,0,3,,8,8,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
130280,,0,12,0,,5,5,5,,5,7,,0,1,,0,0,0,0,0,0,False,,False,Confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
110884,,6,6,0,,3,3,3,,8,8,,0,0,,5,7,,6,6,0,False,,False,Confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
131739,0,0,0,0,,1,1,1,,5,5,,0,0,,5,5,,10,10,10,False,,False,CONFIRM,False,Grid supply,,,False
131563,0,0,0,0,,4,5,5,,2,4,,0,0,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
131679,0,0,0,0,,8,10,10,,10,10,,0,1,,6,7,,10,10,10,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
106461,,0,14,2,,7,12,9,,9,11,,0,3,,4,4,,50,50,50,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120454,,0,7,0,,7,7,7,,2,5,,0,3,,6,7,0,0,0,0,False,,False,confirm,False,Grid supply,School MOOE,Satellite,True
118265,,0,1,0,,9,10,7,,11,12,,0,3,,10,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
110573,0,0,0,0,,5,5,5,,6,7,,0,0,,3,3,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
120156,0,0,0,0,,6,7,7,,3,5,,0,0,,1,1,,16,17,16,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
300746,,80,84,84,,58,58,58,,17,17,,1,1,,53,53,,22,22,22,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
129076,0,0,0,0,,10,13,13,,20,36,,1,1,,30,36,,4,4,4,False,,False,,False,Grid & Off-grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
128606,0,0,0,0,,0,2,2,,10,10,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
306608,,0,1,1,,14,50,50,,8,10,,2,2,,8,8,,0,120,120,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
131945,0,0,0,0,,2,3,3,,12,12,,0,1,,11,11,,30,60,28,False,,False,Confirm ,False,Grid supply,School MOOE,Satellite,True
309166,0,0,0,0,,0,53,46,,3,15,,0,0,,1,1,,0,142,6,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
302533,0,0,0,0,,0,5,5,,5,5,,1,1,,55,55,,28,28,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
107292,0,0,0,0,,59,63,63,,32,39,,0,1,,55,58,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
300938,,0,23,23,,0,55,55,,9,9,,1,1,,18,18,,0,20,20,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
309769,,0,45,45,,0,22,22,,10,10,,1,1,,5,5,,3,5,2,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
116459,0,0,0,0,,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
102213,,6,6,6,,7,9,9,,10,10,,2,2,,16,16,,15,15,15,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
121860,0,0,0,0,,1,2,1,,3,4,,0,0,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
102383,0,0,0,0,0,0,0,0,,9,12,,0,0,,8,8,0,0,0,0,False,,False,confirm,True,Grid & Off-grid supply,DepEd Funded (DCP),Satellite,True
120717,,1,1,1,0,0,0,0,,37,45,,1,1,,12,13,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
158533,,12,12,9,,4,6,6,,3,3,,1,1,,6,6,0,0,0,0,False,,False,confirm,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
105068,0,0,0,0,,5,8,7,,8,29,,1,1,,2,2,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
134483,,1,1,1,,1,1,1,,3,8,,1,1,,0,0,0,0,0,0,False,Confirm ,False,Confirm,False,Grid & Off-grid supply,School MOOE,Satellite,True
103753,,4,4,1,,2,4,2,,6,6,,0,0,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
130932,,1,1,0,,7,7,7,,7,9,,0,0,,7,7,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
