Project_ID,IPC,Has_Photos,Has_Docs,School_Name,Project_Name,Division,Region
1100644,INF-12-2024-00934,YES,NO,Jose C. Pastor MES,Electrification of Un-Energized Schools and Modernization of Electrical System of On-Grid Schools,BATANGAS CITY,REGION IV-A
1100646,INF-02-2024-00002,YES,YES,Pinamukan ES,Repair of Classrooms,BATANGAS CITY,REGION IV-A
1100650,INF-12-2024-00965,YES,NO,Bulacnin ES,Upgrading of Electrical System,LIPA CITY,REGION IV-A
1101363,INF-12-2024-01035,YES,NO,Bogna Elementary School,Upgrading of Electrical System (Overhead System),LEGASPI CITY,REGION V
1101409,INF-02-2024-00907,YES,NO,Madalag ES,Repair / Rehabilitation of Classrooms,AKLAN,REGION VI
1101420,INF-03-2024-00316,YES,NO,Cogon Elementary School,"PROPOSED CONSTRUCTION OF ONE (1) STOREY - THREE (3) CLASSROOMS SCHOOL BUILDING (WITH COMMON TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, AND WATER SYSTEM",AKLAN,REGION VI
1101427,INF-02-2024-00884,YES,NO,Ochando ES,Repair of Classrooms,AKLAN,REGION VI
1101674,INF-06-2024-00176,YES,NO,Talaban ES,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),HIMAMAYLAN CITY,NIR
1101715,INF-03-2024-00271,YES,NO,Hiyang-Hiyang ES,"CONSTRUCTION OF 1STY 5CL SCHOOL BUILDING (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, AND WATER SYSTEM with hauling cost",CADIZ CITY,NIR
1101729,INF-07-2024-00056,YES,NO,Venancio Alba ES,Proposed Repair/Conversion of SPED Centers Into Prototype Inclusive Learning Resource Center (3CL),ROXAS CITY,REGION VI
1101753,INF-06-2024-00131,YES,NO,Passi I Central School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),PASSI CITY,REGION VI
1101869,INF-06-2024-00112,YES,NO,Quinoguitan ES,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),BOHOL,REGION VII
1102210,INF-12-2024-00810,YES,YES,Bongalonan Elementary School,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,BAYAWAN CITY,NIR
1102228,INF-12-2024-01007,YES,NO,Bonbon ES,Off-grid (Solar PV Energy System),GUIHULNGAN CITY,NIR
1102230,INF-04-2024-00532,YES,NO,Hilaitan ES,Clinic & Watsan,GUIHULNGAN CITY,NIR
1102317,INF-12-2024-00804,YES,NO,Basac ES,Upgrading of Electrical System (Overhead System),SIQUIJOR,NIR
1102782,INF-02-2024-00657,YES,NO,Tambongan Elementary School,Repair of Classrooms,SAMAR (WESTERN SAMAR),REGION VIII
1102818,INF-03-2024-00257,YES,NO,Puhagan Elementary School,"CONSTRUCTION OF 1STY4CL (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, WATER SYSTEM AND FLOOD MARKER",SAMAR (WESTERN SAMAR),REGION VIII
1103346,INF-02-2024-00896,YES,NO,Catumbalon ES,Repair of Classrooms,VALENCIA CITY,REGION X
1103358,INF-04-2024-00528,YES,NO,Valencia City Central School,Construction/Repair of Health Facilities,VALENCIA CITY,REGION X
1103427,INF-06-2024-00164,YES,NO,Baliangao CS,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),MISAMIS OCCIDENTAL,REGION X
1103428,INF-02-2024-00890,YES,NO,Lusot Elementary School,Repair / Rehabilitation of Classrooms,MISAMIS OCCIDENTAL,REGION X
1103520,INF-06-2024-00163,YES,NO,DALIPUGA CENTRAL SCHOOL,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),ILIGAN CITY,REGION X
1103610,INF-11-2024-00823,YES,NO,Kaputian Central Elementary School,Repair of Classrooms,ISLAND GARDEN CITY OF SAMAL,REGION XI
1103611,INF-02-2025-00611,YES,NO,San Isidro Elementary School,Repair / Rehabilitation of Classrooms,ISLAND GARDEN CITY OF SAMAL,REGION XI
1103720,INF-12-2024-00757,YES,NO,Jose Porras ES,Upgrading of Electrical System (Overhead System),DAVAO CITY,REGION XI
1103723,INF-02-2024-00659,YES,NO,Alvar Elementary School,Repair of Classrooms,DAVAO ORIENTAL,REGION XI
1103797,INF-02-2024-00887,YES,NO,Malakeba Elementary School,Repair of Classrooms,DAVAO CITY,REGION XI
1104101,INF-12-2024-00978,YES,NO,Tacurong Pilot ES,Electrical Upgrading,TACURONG CITY,REGION XII
1104159,INF-02-2025-01029,YES,NO,East Bayugan CES,Repair / Rehabilitation of Classrooms,BAYUGAN CITY,CARAGA
1104209,INF-06-2024-00212,YES,NO,Patin-ay CES,Construction of 1 Storey Library Hub Building (22.50m x 9.50m) with 10KW Hybrid Solar Powered System,AGUSAN DEL SUR,CARAGA
1104318,INF-07-2024-00040,YES,NO,Mariano Espina Memorial Central Elementary School,Conversion of SPED Centers Into Prototype Inclusive Learning Resource Center,SURIGAO CITY,CARAGA
1104547,INF-03-2024-00336,YES,NO,SOTTO ELEMENTARY SCHOOL,"PROPOSED CONSTRUCTION OF ONE (1) STOREY - FOUR (4) CLASSROOMS SCHOOL BUILDING (WITH COMMON TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, PERIMETER FENCE, SlOPE PROTECTION, SCHOOL GATE AND WATER SYSTEM",TABUK CITY,CAR
1104558,INF-06-2024-00182,YES,NO,Balawag Central School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),TABUK CITY,CAR
1104560,INF-02-2024-00846,YES,NO,Tuliao Elementary School,Repair of Classrooms,TABUK CITY,CAR
1104649,INF-04-2024-00383,YES,NO,Hen. Pio del Pilar ES Main,Repair of School Clinic,MAKATI CITY,NCR
1104699,INF-03-2024-00263,YES,NO,MAKAILAW ELEMENTARY SCHOOL,"CONSTRUCTION OF 2 UNITS 1ST-2CL SCHOOL BUILDING (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, AND WATER SYSTEM",VALENCIA CITY,REGION X
1104972,INF-07-2024-00039,YES,NO,San Isidro Central School SPED Center,Conversion of SPED Centers Into Prototype Inclusive Learning Resource Center,DAVAO ORIENTAL,REGION XI
1105071,INF-03-2024-00346,YES,NO,BURAYUKAN ELEMENTARY SCHOOL,"PROPOSED CONSTRUCTION OF ONE (1) STOREY - FOUR (4) CLASSROOMS SCHOOL BUILDING (WITH COMMON TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, PERIMETER FENCE, SlOPE PROTECTION, SCHOOL GATE AND WATER SYSTEM",TABUK CITY,CAR
1105223,INF-02-2024-00632,YES,NO,Ivana NHS,Repair of Classrooms,BATANES,REGION II
1105224,INF-11-2024-00638,YES,YES,Mahatao NHS,REPAIR OF CLASSROOMS,BATANES,REGION II
1105539,INF-01-2024-01289,YES,NO,Dasmarinas North National High School (Annex G),4STY16CL,DASMARINAS CITY,REGION IV-A
1105659,INF-04-2024-00542,YES,NO,Bolbok Integrated National High School,CONSTRUCTION OF SCHOOL CLINIC,LIPA CITY,REGION IV-A
1106171,INF-12-2024-00825,YES,NO,Julio Ledesma National High School,Upgrading of Electrical System,SAN CARLOS CITY,NIR
1106498,INF-02-2024-00842,YES,NO,Simeon Ocdol National High School,Repair / Rehabilitation of Classrooms,SAMAR (WESTERN SAMAR),REGION VIII
1106556,INF-02-2025-00860,YES,NO,Bolong NHS,Repair / Rehabilitation of Classrooms,ZAMBOANGA CITY,REGION IX
1106762,INF-04-2024-00521,YES,NO,Daniel R. Aguinaldo NHS,Construction of Health Facility with 2 units Comfort Rooms and 2 units Handwashing,DAVAO CITY,REGION XI
1107125,INF-04-2024-00484,YES,NO,Bamban National High School,Construction of School Clinic,ZAMBALES,REGION III
1107138,INF-02-2025-00669,YES,NO,Bantay National High School,Repair / Rehabilitation of Classrooms,TABUK CITY,CAR
1107641,INF-04-2024-00339,YES,NO,Buenos Aires Integrated School,Repair of 2-Seater CR,SAMAR (WESTERN SAMAR),REGION VIII
1107760,INF-12-2024-00783,YES,NO,Lavigan National High School,Energization of Electrical System (Overhead System),DAVAO ORIENTAL,REGION XI
1108196,INF-02-2024-00835,YES,NO,San Jose Integrated School,Repair of Classrooms,SANTIAGO CITY,REGION II
1108205,INF-01-2024-00765,YES,YES,Blanca-Aurora Integrated School,1STY3CL,SAMAR (WESTERN SAMAR),REGION VIII
1108213,INF-06-2024-00194,YES,NO,Quezon Integrated School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),NUEVA ECIJA,REGION III
