IPC,Dup_Count,Project_ID,School_Name,Project_Name,Division,Region
INF-10-2017-01001,9,1108279,Salvacion NHS,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108278,Salvacion NHS,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1107872,Salvacion NHS,,AGUSAN DEL SUR,CARAGA
INF-10-2017-01079,5,1108273,Corpuz NHS,CONSTRUCTION OF 1STY2CL AT CORPUZ NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01079,5,1108272,Corpuz NHS,CONSTRUCTION OF 1STY2CL AT CORPUZ NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01079,5,1108271,Corpuz NHS,CONSTRUCTION OF 1STY2CL AT CORPUZ NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01079,5,1108270,Corpuz NHS,CONSTRUCTION OF 1STY2CL AT CORPUZ NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01079,5,1107861,Corpuz NHS,,AGUSAN DEL SUR,CARAGA
INF-10-2017-01080,5,1108277,Nato National High School,CONSTRUCTION OF 1STY2CL AT NATO NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01080,5,1108276,Nato National High School,CONSTRUCTION OF 1STY2CL AT NATO NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01080,5,1108275,Nato National High School,CONSTRUCTION OF 1STY2CL AT NATO NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01080,5,1108274,Nato National High School,CONSTRUCTION OF 1STY2CL AT NATO NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01080,5,1107862,Nato National High School,,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108268,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108267,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108266,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108265,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108264,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108263,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108262,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1108261,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01085,9,1107877,Aurora Nhs,,AGUSAN DEL SUR,CARAGA
INF-10-2018-01375,2,1108360,Efraim M. Santibanez National High School,,PASSI CITY,REGION VI
INF-10-2018-01375,2,96990,Efraim M. Santibanez National High School,,PASSI CITY,REGION VI
